x, y,
-12310442, 5841036,
-12310085, 5840670,
-12309993, 5840779,
-12309001, 5841061,
-12307901, 5841159,
-12305194, 5840888,
-12303318, 5840058,
-12302059, 5839731,
-12300936, 5838690,
-12299830, 5837814,
-12298245, 5837243,
-12297224, 5836918,
-12296020, 5836591,
-12294418, 5835891,
-12293530, 5835256,
-12291533, 5834056,
-12290531, 5833712,
-12288267, 5833369,
-12286976, 5832728,
-12285534, 5832506,
-12284181, 5832432,
-12282295, 5832551,
-12280120, 5832428,
-12277706, 5832337,
-12276122, 5831854,
-12274995, 5831397,
-12273535, 5831155,
-12272426, 5830697,
-12271403, 5830645,
-12270196, 5829416,
-12269081, 5828244,
-12268475, 5827263,
-12268549, 5824864,
-12268274, 5823743,
-12268612, 5821990,
-12268655, 5819263,
-12268698, 5817689,
-12268972, 5815406,
-12268604, 5813241,
-12268161, 5812375,
-12267551, 5811706,
-12266893, 5810671,
-12266106, 5809653,
-12264732, 5807729,
-12263968, 5806491,
-12263474, 5805441,
-12262869, 5804517,
-12262225, 5803775,
-12261727, 5802999,
-12261316, 5802463,
-12260914, 5801414,
-12260655, 5800552,
-12260169, 5799100,
-12260092, 5797163,
-12260210, 5795540,
-12260504, 5794322,
-12260655, 5792919,
-12260529, 5791712,
-12260292, 5790613,
-12259445, 5787917,
-12259209, 5786837,
-12259450, 5785455,
-12259371, 5783667,
-12259710, 5782979,
-12260624, 5779441,
-12260780, 5778938,
-12262450, 5777012,
-12267680, 5771614,
-12268875, 5768337,
-12269427, 5766653,
-12269736, 5765475,
-12270400, 5763612,
-12270751, 5761962,
-12271198, 5759986,
-12271112, 5757330,
-12270939, 5754328,
-12270904, 5753019,
-12269298, 5751322,
-12268158, 5751196,
-12266621, 5750935,
-12264736, 5750868,
-12263578, 5750777,
-12261113, 5750681,
-12256903, 5749829,
-12254715, 5749519,
-12252740, 5749503,
-12250658, 5749320,
-12243899, 5747163,
-12241552, 5745685,
-12239657, 5744342,
-12237792, 5743307,
-12234945, 5741528,
-12232741, 5740305,
-12230830, 5738942,
-12229281, 5738548,
-12227292, 5737491,
-12225143, 5735452,
-12222803, 5733934,
-12219975, 5731554,
-12219238, 5730432,
-12216293, 5726853,
-12215561, 5725569,
-12214573, 5724093,
-12214464, 5723817,
-12214257, 5723377,
-12213643, 5722267,
-12212326, 5719612,
-12212086, 5718176,
-12211788, 5716106,
-12210844, 5712991,
-12210691, 5711116,
-12210237, 5709396,
-12209600, 5707971,
-12208506, 5706030,
-12207641, 5704347,
-12206612, 5702770,
-12205484, 5701587,
-12204253, 5700222,
-12202291, 5698497,
-12200880, 5697127,
-12198810, 5694677,
-12198013, 5693322,
-12197596, 5691868,
-12197501, 5690530,
-12197919, 5688807,
-12198262, 5687209,
-12199122, 5685859,
-12201195, 5683346,
-12201853, 5682135,
-12201953, 5680912,
-12201805, 5679502,
-12200925, 5678652,
-12199794, 5677761,
-12199127, 5677078,
-12197925, 5676185,
-12196445, 5674870,
-12195392, 5673764,
-12194430, 5672624,
-12193935, 5671531,
-12192918, 5669724,
-12192354, 5668468,
-12191746, 5667607,
-12191046, 5666833,
-12188916, 5666511,
-12186941, 5666462,
-12182772, 5664359,
-12181898, 5663437,
-12181510, 5662437,
-12180386, 5661437,
-12179146, 5660739,
-12178059, 5660459,
-12176416, 5660093,
-12175368, 5659670,
-12173967, 5659003,
-12171822, 5658694,
-12169892, 5657672,
-12167126, 5655061,
-12166380, 5654106,
-12165295, 5651758,
-12164938, 5650382,
-12164540, 5649185,
-12163583, 5648099,
-12163415, 5647663,
-12160293, 5646480,
-12159200, 5645785,
-12158152, 5644822,
-12157567, 5643925,
-12157252, 5643019,
-12156385, 5641988,
-12156023, 5640183,
-12155877, 5637056,
-12156080, 5635636,
-12154102, 5635832,
-12153013, 5636450,
-12151154, 5637306,
-12150352, 5637974,
-12149641, 5638821,
-12148915, 5640009,
-12147992, 5641377,
-12147063, 5641975,
-12145540, 5642344,
-12144145, 5643052,
-12142875, 5643741,
-12141192, 5644487,
-12140206, 5644655,
-12139291, 5644894,
-12138308, 5644874,
-12139721, 5643179,
-12141378, 5641452,
-12142949, 5638858,
-12143627, 5636025,
-12143677, 5633971,
-12143840, 5631667,
-12144806, 5625781,
-12146178, 5622439,
-12147568, 5619619,
-12149763, 5616109,
-12152491, 5612684,
-12158488, 5606892,
-12159057, 5606379,
-12159632, 5605574,
-12160176, 5604878,
-12161089, 5603438,
-12162695, 5600510,
-12163471, 5599244,
-12164245, 5598067,
-12164697, 5597502,
-12164951, 5597258,
-12165341, 5596401,
-12164571, 5595436,
-12164139, 5594498,
-12163681, 5593365,
-12163124, 5592246,
-12162618, 5591835,
-12162621, 5591292,
-12162581, 5590646,
-12162371, 5588771,
-12162210, 5588556,
-12161853, 5588166,
-12161697, 5587972,
-12161364, 5587458,
-12161080, 5586962,
-12160955, 5586783,
-12160687, 5586335,
-12160455, 5586102,
-12159330, 5584177,
-12159228, 5584057,
-12158179, 5584154,
-12155671, 5584634,
-12153204, 5584934,
-12150427, 5584724,
-12147515, 5584187,
-12144899, 5583262,
-12142002, 5582149,
-12139602, 5581156,
-12137574, 5579563,
-12136533, 5578425,
-12135930, 5576904,
-12136502, 5573944,
-12137858, 5571006,
-12139274, 5568428,
-12141126, 5566935,
-12143127, 5566627,
-12146486, 5566066,
-12150072, 5564900,
-12152611, 5562814,
-12153646, 5559583,
-12153679, 5556579,
-12153119, 5554670,
-12150796, 5550497,
-12150119, 5549236,
-12149242, 5547250,
-12148554, 5544804,
-12148756, 5543875,
-12147832, 5543168,
-12147382, 5542892,
-12146413, 5542009,
-12145410, 5540831,
-12144883, 5540046,
-12144400, 5539512,
-12144215, 5539270,
-12144205, 5539566,
-12144096, 5539984,
-12143899, 5540377,
-12143118, 5542394,
-12142903, 5542849,
-12142653, 5543216,
-12142421, 5543439,
-12142101, 5543662,
-12141782, 5543779,
-12141410, 5543814,
-12141003, 5543734,
-12140129, 5543376,
-12139794, 5543189,
-12139202, 5542903,
-12138586, 5542520,
-12138260, 5542252,
-12138048, 5542145,
-12138103, 5541823,
-12138331, 5540940,
-12138486, 5540164,
-12138525, 5539735,
-12138467, 5539129,
-12138365, 5538575,
-12138393, 5538290,
-12138566, 5537639,
-12138624, 5536997,
-12138600, 5536667,
-12138497, 5536150,
-12138255, 5535392,
-12137917, 5534544,
-12137177, 5533117,
-12137021, 5532707,
-12136741, 5531308,
-12136431, 5530416,
-12136201, 5529400,
-12136029, 5528884,
-12135832, 5528090,
-12135359, 5526726,
-12134943, 5525844,
-12134495, 5524730,
-12134186, 5523849,
-12134008, 5522994,
-12133785, 5522379,
-12133439, 5521640,
-12132773, 5519503,
-12132211, 5518488,
-12131936, 5517775,
-12131556, 5517045,
-12131461, 5516831,
-12130586, 5515541,
-12130087, 5514490,
-12129569, 5513546,
-12129337, 5513004,
-12128914, 5512301,
-12128441, 5511401,
-12128137, 5511028,
-12127502, 5510448,
-12127372, 5510270,
-12127320, 5510164,
-12127207, 5510039,
-12126841, 5509826,
-12126606, 5509629,
-12125799, 5508704,
-12125324, 5508010,
-12124362, 5506186,
-12124155, 5505883,
-12123769, 5505830,
-12122970, 5505783,
-12122348, 5505632,
-12121973, 5505444,
-12121669, 5505194,
-12120134, 5503734,
-12119491, 5503217,
-12118881, 5502869,
-12117727, 5502476,
-12116335, 5502215,
-12115933, 5502098,
-12115770, 5502409,
-12115674, 5502409,
-12114361, 5502138,
-12113985, 5501986,
-12113620, 5501727,
-12113405, 5501434,
-12113081, 5500793,
-12113058, 5500607,
-12113618, 5500102,
-12114249, 5499571,
-12114938, 5498640,
-12115481, 5498074,
-12115946, 5497471,
-12116339, 5497019,
-12116696, 5496558,
-12117088, 5496133,
-12117483, 5495522,
-12118068, 5494458,
-12118403, 5493722,
-12118518, 5493066,
-12118529, 5492887,
-12118646, 5492692,
-12118693, 5492444,
-12118596, 5491877,
-12118142, 5490535,
-12117869, 5490065,
-12117420, 5489585,
-12116950, 5488820,
-12116391, 5488119,
-12115848, 5487540,
-12115241, 5487131,
-12114788, 5487005,
-12114267, 5486676,
-12113611, 5486072,
-12112849, 5485510,
-12111064, 5484379,
-12110620, 5483686,
-12110477, 5483331,
-12110433, 5482844,
-12110300, 5482374,
-12110188, 5481771,
-12110035, 5479873,
-12109862, 5479234,
-12109626, 5478693,
-12109278, 5478090,
-12108927, 5477601,
-12108618, 5477290,
-12108220, 5477024,
-12107787, 5476782,
-12107335, 5476621,
-12106650, 5476301,
-12106080, 5475935,
-12105891, 5475722,
-12105713, 5475421,
-12105308, 5475065,
-12104915, 5474541,
-12104705, 5474079,
-12104203, 5473290,
-12103968, 5472775,
-12103805, 5472120,
-12103677, 5471437,
-12103628, 5470790,
-12103762, 5470127,
-12104044, 5469030,
-12104253, 5468571,
-12104484, 5468315,
-12104857, 5468017,
-12105554, 5467586,
-12106195, 5467358,
-12106486, 5467217,
-12107021, 5467060,
-12107713, 5466929,
-12108306, 5466940,
-12108872, 5467021,
-12109343, 5467051,
-12109891, 5467193,
-12110222, 5467194,
-12110360, 5466813,
-12110234, 5466486,
-12109988, 5466079,
-12109871, 5465795,
